code,name,market,category,color,date.2018-08-21.per,date.2018-08-21.pbr,date.2018-08-21.volume
1301,極洋,東証1部,水産・農林業,f90000,10.9,1.19,354.62
1332,日本水産,東証1部,水産・農林業,,,,
1333,マルハニチロ,東証1部,水産・農林業,,,,
1352,ホウスイ,東証1部,卸売業,,,,
1376,カネコ種苗,東証1部,水産・農林業,,,,
1377,サカタのタネ,東証1部,水産・農林業,,,,
1379,ホクト,東証1部,水産・農林業,,,,
1380,秋川牧園,東証JQS,水産・農林業,,,,
1381,アクシーズ,東証JQS,水産・農林業,,,,
1382,ホーブ,東証JQS,水産・農林業,,,,
1383,ベルグアース,東証JQS,水産・農林業,,,,
1384,ホクリヨウ,東証1部,水産・農林業,,,,
1400,ルーデン・ホールディングス,東証JQG,建設業,,,,
1401,エムビーエス,マザーズ,建設業,,,,
1407,ウエストホールディングス,東証JQS,建設業,,,,
1408,サムシングホールディングス,東証JQG,建設業,,,,
1413,ヒノキヤグループ,東証1部,建設業,,,,
1414,ショーボンドホールディングス,東証1部,建設業,,,,
1417,ミライト・ホールディングス,東証1部,建設業,,,,
1418,インターライフホールディングス,東証JQS,建設業,,,,
1419,タマホーム,東証1部,建設業,,,,
1420,サンヨーホームズ,東証1部,建設業,,,,
1429,日本アクア,東証1部,建設業,,,,
1430,ファーストコーポレーション,東証1部,建設業,,,,
1431,Ｌｉｂ　Ｗｏｒｋ,福岡Q,建設業,,,,
1433,ベステラ,東証1部,建設業,,,,
1434,ＪＥＳＣＯホールディングス,東証2部,建設業,,,,
1435,ＴＡＴＥＲＵ,東証1部,建設業,,,,
1436,フィット,マザーズ,建設業,,,,
1438,岐阜造園,名証2部,建設業,,,,
1439,安江工務店,東証JQS,建設業,,,,
1443,技研ホールディングス,東証2部,建設業,,,,
1446,キャンディル,マザーズ,建設業,,,,
1491,中外鉱業,東証2部,非鉄金属,,,,
1514,住石ホールディングス,東証1部,鉱業,,,,
1515,日鉄鉱業,東証1部,鉱業,,,,
1518,三井松島産業,東証1部,鉱業,,,,
1605,国際石油開発帝石,東証1部,鉱業,,,,
1662,石油資源開発,東証1部,鉱業,,,,
1663,Ｋ＆Ｏエナジーグループ,東証1部,鉱業,,,,
1711,省電舎ホールディングス,東証2部,建設業,,,,
1712,ダイセキ環境ソリューション,東証1部,建設業,,,,
1716,第一カッター興業,東証1部,建設業,,,,
1717,明豊ファシリティワークス,東証JQS,建設業,,,,
1718,美樹工業,東証JQS,建設業,,,,
1719,安藤ハザマ,東証1部,建設業,,,,
1720,東急建設,東証1部,建設業,,,,
1721,コムシスホールディングス,東証1部,建設業,,,,
1722,ミサワホーム,東証1部,建設業,,,,
1723,日本電技,東証JQS,建設業,,,,
1724,シンクレイヤ,東証JQS,建設業,,,,
1726,ビーアールホールディングス,東証1部,建設業,,,,
1728,ミサワホーム中国,東証JQS,建設業,,,,
1730,麻生フオームクリート,東証JQS,建設業,,,,
1734,北弘電社,札証,建設業,,,,
1736,オーテック,東証JQS,建設業,,,,
1737,三井金属エンジニアリング,東証2部,建設業,,,,
1738,ＮＩＴＴＯＨ,名証2部,建設業,,,,
1739,シード平和,東証JQG,建設業,,,,
1743,コーアツ工業,東証2部,建設業,,,,
1757,クレアホールディングス,東証2部,建設業,,,,
1758,太洋基礎工業,東証JQS,建設業,,,,
1762,高松コンストラクショングループ,東証1部,建設業,,,,
1764,工藤建設,東証2部,建設業,,,,
1766,東建コーポレーション,東証1部,建設業,,,,
1768,ソネック,東証1部,建設業,,,,
1770,藤田エンジニアリング,東証JQS,建設業,,,,
1771,日本乾溜工業,福証,建設業,,,,
1773,ＹＴＬ,東証外国,建設業,,,,
1775,富士古河Ｅ＆Ｃ,東証2部,建設業,,,,
1776,三井住建道路,東証2部,建設業,,,,
1777,川崎設備工業,名証2部,建設業,,,,
1780,ヤマウラ,東証1部,建設業,,,,
1782,常磐開発,東証JQS,建設業,,,,
1783,アジアゲートホールディングス,東証JQS,建設業,,,,
1787,ナカボーテック,東証JQS,建設業,,,,
1788,三東工業社,東証JQS,建設業,,,,
1789,ＥＴＳホールディングス,東証JQS,建設業,,,,
1793,大本組,東証JQS,建設業,,,,
1795,マサル,東証JQS,建設業,,,,
1798,守谷商会,東証JQS,建設業,,,,
1799,第一建設工業,東証JQS,建設業,,,,
1801,大成建設,東証1部,建設業,,,,
1802,大林組,東証1部,建設業,,,,
1803,清水建設,東証1部,建設業,,,,
1805,飛島建設,東証1部,建設業,,,,
1807,佐藤渡辺,東証JQS,建設業,,,,
1808,長谷工コーポレーション,東証1部,建設業,,,,
1810,松井建設,東証1部,建設業,,,,
1811,錢高組,東証1部,建設業,,,,
1812,鹿島,東証1部,建設業,,,,
1813,不動テトラ,東証1部,建設業,,,,
1814,大末建設,東証1部,建設業,,,,
1815,鉄建建設,東証1部,建設業,,,,
1820,西松建設,東証1部,建設業,,,,
1821,三井住友建設,東証1部,建設業,,,,
1822,大豊建設,東証1部,建設業,,,,
1824,前田建設工業,東証1部,建設業,,,,
1826,佐田建設,東証1部,建設業,,,,
1827,ナカノフドー建設,東証1部,建設業,,,,
1828,田辺工業,東証2部,建設業,,,,
1832,北海電気工事,札証,建設業,,,,
1833,奥村組,東証1部,建設業,,,,
1835,東鉄工業,東証1部,建設業,,,,
1840,土屋ホールディングス,東証2部,建設業,,,,
1841,サンユー建設,東証JQS,建設業,,,,
1844,大盛工業,東証2部,建設業,,,,
1847,イチケン,東証1部,建設業,,,,
1848,富士ピー・エス,東証1部,建設業,,,,
1850,南海辰村建設,東証2部,建設業,,,,
1852,淺沼組,東証1部,建設業,,,,
1853,森組,東証2部,建設業,,,,
1860,戸田建設,東証1部,建設業,,,,
1861,熊谷組,東証1部,建設業,,,,
1865,青木あすなろ建設,東証1部,建設業,,,,
1866,北野建設,東証1部,建設業,,,,
1867,植木組,東証1部,建設業,,,,
1868,三井ホーム,東証1部,建設業,,,,
1869,名工建設,名証2部,建設業,,,,
1870,矢作建設工業,東証1部,建設業,,,,
1871,ピーエス三菱,東証1部,建設業,,,,
1873,日本ハウスホールディングス,東証1部,建設業,,,,
1878,大東建託,東証1部,建設業,,,,
1879,新日本建設,東証1部,建設業,,,,
1881,ＮＩＰＰＯ,東証1部,建設業,,,,
1882,東亜道路工業,東証1部,建設業,,,,
1883,前田道路,東証1部,建設業,,,,
1884,日本道路,東証1部,建設業,,,,
1885,東亜建設工業,東証1部,建設業,,,,
1888,若築建設,東証1部,建設業,,,,
1890,東洋建設,東証1部,建設業,,,,
1892,徳倉建設,名証2部,建設業,,,,
1893,五洋建設,東証1部,建設業,,,,
1897,金下建設,東証2部,建設業,,,,
1898,世紀東急工業,東証1部,建設業,,,,
1899,福田組,東証1部,建設業,,,,
1904,大成温調,東証JQS,建設業,,,,
1905,テノックス,東証JQS,建設業,,,,
1906,細田工務店,東証JQS,建設業,,,,
1909,日本ドライケミカル,東証1部,機械,,,,
1911,住友林業,東証1部,建設業,,,,
1914,日本基礎技術,東証1部,建設業,,,,
1916,日成ビルド工業,東証1部,建設業,,,,
1919,ヤマダ・エスバイエルホーム,東証1部,建設業,,,,
1921,巴コーポレーション,東証1部,建設業,,,,
1925,大和ハウス工業,東証1部,建設業,,,,
1926,ライト工業,東証1部,建設業,,,,
1928,積水ハウス,東証1部,建設業,,,,
1929,日特建設,東証1部,建設業,,,,
1930,北陸電気工事,東証1部,建設業,,,,
1931,日本電通,東証2部,建設業,,,,
1933,ＳＹＳＫＥＮ,東証2部,建設業,,,,
1934,ユアテック,東証1部,建設業,,,,
1935,ＴＴＫ,東証2部,建設業,,,,
1936,シーキューブ,名証1部,建設業,,,,
1937,西部電気工業,東証1部,建設業,,,,
1938,日本リーテック,東証2部,建設業,,,,
1939,四電工,東証1部,建設業,,,,
1941,中電工,東証1部,建設業,,,,
1942,関電工,東証1部,建設業,,,,
1944,きんでん,東証1部,建設業,,,,
1945,東京エネシス,東証1部,建設業,,,,
1946,トーエネック,東証1部,建設業,,,,
1948,弘電社,東証2部,建設業,,,,
1949,住友電設,東証1部,建設業,,,,
1950,日本電設工業,東証1部,建設業,,,,
1951,協和エクシオ,東証1部,建設業,,,,
1952,新日本空調,東証1部,建設業,,,,
1954,日本工営,東証1部,サービス業,,,,
1956,ＮＤＳ,東証1部,建設業,,,,
1959,九電工,東証1部,建設業,,,,
1960,サンテック,東証2部,建設業,,,,
1961,三機工業,東証1部,建設業,,,,
1963,日揮,東証1部,建設業,,,,
1964,中外炉工業,東証1部,建設業,,,,
1965,テクノ菱和,東証2部,建設業,,,,
1966,高田工業所,東証2部,建設業,,,,
1967,ヤマト,東証1部,建設業,,,,
1968,太平電業,東証1部,建設業,,,,
1969,高砂熱学工業,東証1部,建設業,,,,
1971,中央ビルト工業,東証2部,金属製品,,,,
1972,三晃金属工業,東証1部,建設業,,,,
1973,ＮＥＣネッツエスアイ,東証1部,情報・通信,,,,
1975,朝日工業社,東証1部,建設業,,,,
1976,明星工業,東証1部,建設業,,,,
1979,大気社,東証1部,建設業,,,,
1980,ダイダン,東証1部,建設業,,,,
1981,協和日成,東証JQS,建設業,,,,
1982,日比谷総合設備,東証1部,建設業,,,,
1983,東芝プラントシステム,東証1部,建設業,,,,
1984,三信建設工業,東証JQS,建設業,,,,
1987,ソルコム,東証2部,建設業,,,,
1989,北陸電話工事,東証2部,建設業,,,,
1992,神田通信機,東証JQS,建設業,,,,
1994,高橋カーテンウォール工業,東証JQS,建設業,,,,
1997,暁飯島工業,東証JQS,建設業,,,,
1999,サイタホールディングス,福証,建設業,,,,
2001,日本製粉,東証1部,食料品,,,,
2002,日清製粉グループ本社,東証1部,食料品,,,,
2003,日東富士製粉,東証1部,食料品,,,,
2004,昭和産業,東証1部,食料品,,,,
2009,鳥越製粉,東証1部,食料品,,,,
2053,中部飼料,東証1部,食料品,,,,
2055,日和産業,東証2部,食料品,,,,
2058,ヒガシマル,福証,食料品,,,,
2060,フィード・ワン,東証1部,食料品,,,,
2107,東洋精糖,東証1部,食料品,,,,
2108,日本甜菜製糖,東証1部,食料品,,,,
2109,三井製糖,東証1部,食料品,,,,
2112,塩水港精糖,東証1部,食料品,,,,
2114,フジ日本精糖,東証2部,食料品,,,,
2117,日新製糖,東証1部,食料品,,,,
2120,ＬＩＦＵＬＬ,東証1部,サービス業,,,,
2121,ミクシィ,マザーズ,サービス業,,,,
2122,インタースペース,マザーズ,サービス業,,,,
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,東証1部,サービス業,,,,
2127,日本Ｍ＆Ａセンター,東証1部,サービス業,,,,
2130,メンバーズ,東証1部,サービス業,,,,
2134,燦キャピタルマネージメント,東証JQS,サービス業,,,,
